type,id,project_id,submitter_id,assay_instrument,assay_instrument_model,assay_method,assay_instrument_mode,assay_kit_name,assay_kit_vendor,assay_kit_version,cell_concentration,cell_count,experimental_step,molecular_concentration,analytes.id,analytes.submitter_id
quantification_assay,e406f2e3-044b-4f4d-880d-efe9b8edfabc,bpa-USC_OPT1_T1,09D9A02_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,04d5781f-c016-4738-8fb9-fd0fcf6d192a,09D9A02_ctc_concentration
quantification_assay,05e3d9a3-f9f4-42f6-9b44-d94a37d12059,bpa-USC_OPT1_T1,09D9A02_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,60.1585393,,,60.1585393,799061c7-13f3-459d-b98f-6c0a34be9eae,09D9A02_ctc_low_concentration
quantification_assay,729cdddd-af2e-40fe-a84a-b9983d61d716,bpa-USC_OPT1_T1,085871_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,1.57447185,,,1.57447185,f8cd65cf-446c-43df-b5cf-518c61d9b100,085871_ctc_low_concentration
quantification_assay,fcb9e43f-4e6f-4d79-81e5-259e1b96222c,bpa-USC_OPT1_T1,085871_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,4.723415549,,,4.723415549,d92f6cad-9572-4197-9e6d-42a5346145f0,085871_ctc_small_concentration
quantification_assay,9cf9c50b-f884-4365-bc21-b94d22f11b12,bpa-USC_OPT1_T1,085872_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,6100000,,,3de6a6ea-f9cb-4ce6-96fc-426f13e1db50,085872_wbc_count
quantification_assay,3e9dccac-b196-41ce-b5e9-99ed00d80f42,bpa-USC_OPT1_T1,085872_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,2929950,,,f4610c7a-84fa-44d0-a08c-885f963125d9,085872_nucleated_count
quantification_assay,849c840a-dc54-449b-922e-41850564ff07,bpa-USC_OPT1_T1,085872_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,4d63b43a-02c6-4721-8ce4-84532a0ead2d,085872_ctc_concentration
quantification_assay,b73a2182-4c47-4a93-b2c5-66af8a96c8e6,bpa-USC_OPT1_T1,085872_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,1.57447185,,,1.57447185,c1d8e41e-64e2-4b36-8ac0-a481ab337d84,085872_ctc_low_concentration
quantification_assay,497eea4b-ae4d-4b58-9ebb-7c6e2398eeb7,bpa-USC_OPT1_T1,085872_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,4.723415549,,,4.723415549,7ff5d742-72e0-4c22-b0a8-6b45aa73160f,085872_ctc_small_concentration
quantification_assay,c74ea6a9-ad23-4328-afa7-c59f1ec0c658,bpa-USC_OPT1_T1,079882_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0.759499103,,,0.759499103,b74bc5ea-3759-40f0-ae7f-491f80c78bb2,079882_ctc_small_concentration
quantification_assay,ad023912-359a-47dd-aeec-ab9d48893f82,bpa-USC_OPT1_T1,079941_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,4000000,,,9e7dca9a-aac0-4f5e-b426-13bec9994ce4,079941_wbc_count
quantification_assay,40fcf28c-cab0-419e-b7a0-28da388a4d25,bpa-USC_OPT1_T1,079941_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,2396020,,,994b108f-57d2-47a7-a4f9-02abdb6ae780,079941_nucleated_count
quantification_assay,e7db1e68-6222-425d-b324-2f982e622d93,bpa-USC_OPT1_T1,079941_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,2293d282-4ac9-422e-adfd-ee61936547cf,079941_ctc_concentration
quantification_assay,9134da64-2177-4bec-8957-54ae7a49ea1a,bpa-USC_OPT1_T1,079941_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,12.28897525,,,12.28897525,3aae80c4-e7eb-4d85-81cb-4f29f7db86fb,079941_ctc_low_concentration
quantification_assay,71c62ba5-2d52-4a3a-b3bb-908b9449df00,bpa-USC_OPT1_T1,079941_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,29e5bdff-3f6a-4e84-9020-1a4a3d49e773,079941_ctc_small_concentration
quantification_assay,b02f605e-48c2-4840-b182-2c7fbb173d6d,bpa-USC_OPT1_T1,079942_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,4000000,,,657a8abd-d545-4d77-9dd0-dd892c82aca7,079942_wbc_count
quantification_assay,d6fc6a04-9e4d-430d-9d7b-febb3a772492,bpa-USC_OPT1_T1,079942_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,2396020,,,76d57c69-3741-457b-904e-3299e3f7305f,079942_nucleated_count
quantification_assay,a58007ad-7cae-4f54-9f66-9991d5c83813,bpa-USC_OPT1_T1,079942_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,aa8eab24-33c6-4e2e-bd70-ce47e49e0dbf,079942_ctc_concentration
quantification_assay,371b82b3-40ac-4a42-a09a-8f3cbdbcee40,bpa-USC_OPT1_T1,079942_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,12.28897525,,,12.28897525,3ed8f525-1bb5-4006-a89d-1d6640696c3f,079942_ctc_low_concentration
quantification_assay,0024534f-f5ac-4486-917e-472095ae254a,bpa-USC_OPT1_T1,079942_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,ff7a3c91-a529-4ede-94d6-085fec48801d,079942_ctc_small_concentration
quantification_assay,e37e7eba-605d-43d9-96e9-206b5df3dfda,bpa-USC_OPT1_T1,083421_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,6000000,,,ddb30bf9-5035-43dc-9923-ae15c6f42dd4,083421_wbc_count
quantification_assay,798e31a8-46cf-4365-bf18-c539bec3947a,bpa-USC_OPT1_T1,083421_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,2997550,,,bc33a453-2488-4de9-ae4e-176d272e4263,083421_nucleated_count
quantification_assay,b6ed4d33-6470-459a-82de-b904ba1916fa,bpa-USC_OPT1_T1,083421_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,03bcc32a-aff0-45d5-b904-a8e29a8f005e,083421_ctc_concentration
quantification_assay,5e217b36-c26a-427c-95ef-4d43db04f810,bpa-USC_OPT1_T1,083421_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,11.35714042,,,11.35714042,de6d3bb8-e134-4472-b302-8db356ea41fd,083421_ctc_low_concentration
quantification_assay,59f750b4-80a5-4487-b584-c912f54f5767,bpa-USC_OPT1_T1,083421_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,63b9d075-5b7e-4fb0-9b6e-826bb503b04e,083421_ctc_small_concentration
quantification_assay,5a20dbb9-2aa4-4508-a390-633c27115263,bpa-USC_OPT1_T1,085811_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,6300000,,,2246d22e-b54c-4e7b-9df6-44ca061aba1a,085811_wbc_count
quantification_assay,89f69959-df10-4b2c-9ec2-63e45a44bbde,bpa-USC_OPT1_T1,085811_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,2929950,,,45f28d41-4a35-4db1-8062-4d6acbddaf7b,085811_nucleated_count
quantification_assay,14eb0433-7a73-471a-b059-7b4419241b52,bpa-USC_OPT1_T1,085811_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,12024244-5ad6-46ff-bd67-f912d93c8607,085811_ctc_concentration
quantification_assay,f6c10646-836a-4a90-ac5f-4c70eff16244,bpa-USC_OPT1_T1,085811_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,12.66226981,,,12.66226981,536d0359-223c-4764-8a00-fa17c40bd306,085811_ctc_low_concentration
quantification_assay,a465eede-1d27-4b13-9c90-7d5e3cb122ed,bpa-USC_OPT1_T1,085811_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,1.808895687,,,1.808895687,5380bbcf-adff-41a8-aab3-d9b59aecbe43,085811_ctc_small_concentration
quantification_assay,d8f80222-c31d-4514-b457-460751fd0fe5,bpa-USC_OPT1_T1,085812_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,6300000,,,e30f6565-9310-428e-ac19-074965eeaea5,085812_wbc_count
quantification_assay,0e028d72-edf2-4b6a-9a64-eab91eced2be,bpa-USC_OPT1_T1,085812_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,2929950,,,1bb62e01-4ea9-4d58-adda-2fc3fa084448,085812_nucleated_count
quantification_assay,0eae834c-4191-41b4-9b7f-f3a01c487877,bpa-USC_OPT1_T1,085812_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,eec7e0b4-292c-4a10-92f5-645ae199b9b3,085812_ctc_concentration
quantification_assay,ded1b79c-d54c-4185-b3c2-c7a5dc24428d,bpa-USC_OPT1_T1,085812_ctc_low_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,12.66226981,,,12.66226981,8ac2e1dd-5bc9-4eff-9153-2b8f1af0e3d9,085812_ctc_low_concentration
quantification_assay,f7ad267c-54cb-4d10-9921-e850e80152cc,bpa-USC_OPT1_T1,085812_ctc_small_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,1.808895687,,,1.808895687,f8337666-f947-46c6-a599-36b27c13de8c,085812_ctc_small_concentration
quantification_assay,37bbae34-b542-43f8-99ad-8e0a62315077,bpa-USC_OPT1_T1,088421_wbc_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,5400000,,,2c802d9e-ee07-42ab-abde-efe87647af6b,088421_wbc_count
quantification_assay,52bd260e-1ef4-40d9-a428-153d9b3f4a02,bpa-USC_OPT1_T1,088421_nucleated_count_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,,2929950,,,d7bfd79d-860d-4f37-9ff8-5cfbaa65c368,088421_nucleated_count
quantification_assay,b1f6af79-f48f-4f8d-9edf-90201248308b,bpa-USC_OPT1_T1,088421_ctc_concentration_quantification_assay,HD-SCA Platform,HDSCA Enumeration,Immunohistochemistry,,,,,0,,,0,d819e61a-7e85-4dc6-94c4-e6fa4d0d6d57,088421_ctc_concentration
